season,week,rule,consistency,n_samples,n_accepted,n_steps,accept_rate
31,6,rank,0.871,1000,1372,2000,0.686
31,7,rank,0.988,1000,1419,2000,0.7095
31,8,rank,0.947,1000,1286,2000,0.643
31,9,rank,1.0,1000,1454,2000,0.727
31,10,rank,,1000,2000,2000,1.0
32,1,rank,0.885,1000,1227,2000,0.6135
32,2,rank,1.0,1000,865,2000,0.4325
32,3,rank,0.874,1000,1461,2000,0.7305
32,4,rank,0.62,1000,768,2000,0.384
32,5,rank,1.0,1000,1189,2000,0.5945
32,6,rank,0.518,1000,983,2000,0.4915
32,7,rank,0.251,1000,392,2000,0.196
32,8,rank,1.0,1000,1225,2000,0.6125
32,9,rank,0.82,1000,1634,2000,0.817
32,10,rank,,1000,2000,2000,1.0
32,11,rank,,1000,2000,2000,1.0
33,1,rank,,1000,2000,2000,1.0
33,2,rank,1.0,1000,789,2000,0.3945
33,3,rank,1.0,1000,1187,2000,0.5935
33,4,rank,0.679,1000,1012,2000,0.506
33,5,rank,0.754,1000,1492,2000,0.746
33,6,rank,0.366,1000,956,2000,0.478
33,7,rank,0.998,1000,1583,2000,0.7915
33,8,rank,,1000,2000,2000,1.0
33,9,rank,,1000,2000,2000,1.0
34,1,rank,,1000,2000,2000,1.0
34,2,rank,1.0,1000,950,2000,0.475
34,3,rank,0.838,1000,1486,2000,0.743
34,4,rank,0.424,1000,393,2000,0.1965
34,5,rank,,1000,2000,2000,1.0
34,6,rank,0.883,1000,1409,2000,0.7045
34,7,rank,0.576,1000,1230,2000,0.615
34,8,rank,1.0,1000,1390,2000,0.695
34,9,rank,0.771,1000,1525,2000,0.7625
34,10,rank,0.392,1000,827,2000,0.4135
34,11,rank,,1000,2000,2000,1.0
